"CLONAZEPAM"
"DICLOFENAC SODIUM"
"NABUMETONE"
"OLANZAPINE/FLUOXETINE HCL"
"FINASTERIDE"
"CELECOXIB"
"INSULIN GLARGINE,HUM.REC.ANLOG"
"FENOFIBRATE NANOCRYSTALLIZED"
"INTERFERON BETA-1A/ALBUMIN"
"DEXTROMETHORPHAN HBR/QUINIDINE"
"GLIMEPIRIDE"
"DISULFIRAM"
"LISINOPRIL/HYDROCHLOROTHIAZIDE"
"MECLIZINE HCL"
"DIGOXIN"
"ACETAZOLAMIDE"
"PHENYTOIN"
"ISOSORBIDE MONONITRATE"
"TRIAMTERENE/HYDROCHLOROTHIAZID"
"SOLIFENACIN SUCCINATE"
"LEVOCARNITINE"
"PAROXETINE MESYLATE"
"MEDROXYPROGESTERONE ACETATE"
"EZETIMIBE"
"SELEGILINE"
"VALSARTAN/HYDROCHLOROTHIAZIDE"
"DALFAMPRIDINE"
"LIDOCAINE"
"TERAZOSIN HCL"
"AMOXAPINE"
"CLOBAZAM"
"RAMIPRIL"
"TIAGABINE HCL"
"OXYMORPHONE HCL"
"LOSARTAN/HYDROCHLOROTHIAZIDE"
"ESTRADIOL"
"BENAZEPRIL HCL"
"MINOCYCLINE HCL"
"NIACIN"
"PREDNISOLONE ACETATE"
"OLANZAPINE PAMOATE"
"INTERFERON BETA-1B"
"TOLTERODINE TARTRATE"
"CYPROHEPTADINE HCL"
"TRAMADOL HCL/ACETAMINOPHEN"
"PIOGLITAZONE HCL"
"HYDRALAZINE HCL"
"MILNACIPRAN HCL"
"METHOTREXATE SODIUM"
"ACETAMINOPHEN WITH CODEINE"
"DOXAZOSIN MESYLATE"
"METHOCARBAMOL"
"MYCOPHENOLATE MOFETIL"
"RUFINAMIDE"
"DUTASTERIDE"
"BIMATOPROST"
"BUPROPION HBR"
"NADOLOL"
"TIMOLOL MALEATE"
"VARENICLINE TARTRATE"
"FENOFIBRATE,MICRONIZED"
"NAPROXEN SODIUM"
"PILOCARPINE HCL"
"PINDOLOL"
"AMLODIPINE BESYLATE/BENAZEPRIL"
"FELBAMATE"
"HYDROXYCHLOROQUINE SULFATE"
"CHLORHEXIDINE GLUCONATE"
"DABIGATRAN ETEXILATE MESYLATE"
"VALACYCLOVIR HCL"
"BUDESONIDE/FORMOTEROL FUMARATE"
"TRAVOPROST"
"BRIMONIDINE TARTRATE"
"NEBIVOLOL HCL"
"FINGOLIMOD HCL"
"DICLOFENAC POTASSIUM"
"DOXYCYCLINE HYCLATE"
"PIMOZIDE"
"IRBESARTAN"
"PROTRIPTYLINE HCL"
"RITONAVIR"
"AMIODARONE HCL"
"GLYBURIDE"
"DRONABINOL"
"LABETALOL HCL"
"LITHIUM CITRATE"
"OLMESARTAN MEDOXOMIL"
"INSULIN ASPART"
"SULFAMETHOXAZOLE/TRIMETHOPRIM"
"AMITRIP HCL/CHLORDIAZEPOXIDE"
"DEXLANSOPRAZOLE"
"HYDROCORTISONE"
"PROCHLORPERAZINE MALEATE"
"TESTOSTERONE"
"DORZOLAMIDE HCL/TIMOLOL MALEAT"
"ACYCLOVIR"
"MAPROTILINE HCL"
"SITAGLIPTIN PHOS/METFORMIN HCL"
"SODIUM OXYBATE"
"CARBIDOPA"
"FLUDROCORTISONE ACETATE"
"HUM INSULIN NPH/REG INSULIN HM"
"TETRABENAZINE"
"CLONIDINE"
"CYCLOSPORINE"
"SUCRALFATE"
"CALCITRIOL"
"MOXIFLOXACIN HCL"
"DICYCLOMINE HCL"
"IMIPRAMINE PAMOATE"
"KETOPROFEN"
"FOSINOPRIL SODIUM"
"METOCLOPRAMIDE HCL"
"BRIMONIDINE TARTRATE/TIMOLOL"
"INSULIN REGULAR, HUMAN"
"BROMOCRIPTINE MESYLATE"
"METHENAMINE HIPPURATE"
"MOMETASONE FUROATE"
"RISEDRONATE SODIUM"
"RILUZOLE"
"BISOPROLOL FUMARATE"
"DARUNAVIR ETHANOLATE"
"ERGOCALCIFEROL (VITAMIN D2)"
"ALCOHOL ANTISEPTIC PADS"
"INSULIN LISPRO"
"NEEDLES, INSULIN DISPOSABLE"
"SCOPOLAMINE"
"TRIMIPRAMINE MALEATE"
"ROTIGOTINE"
"MIDODRINE HCL"
"PROGESTERONE,MICRONIZED"
"AZITHROMYCIN"
"BUTALB/ACETAMINOPHEN/CAFFEINE"
"THYROID,PORK"
"IMMUNE GLOBULIN,GAMMA(IGG)"
"NYSTATIN"
"RIVAROXABAN"
"EMTRICITABINE/TENOFOVIR"
"KETOROLAC TROMETHAMINE"
"NITROGLYCERIN"
"AMILORIDE HCL"
"OLOPATADINE HCL"
"IPRATROPIUM/ALBUTEROL SULFATE"
"MEPROBAMATE"
"BISOPROLOL FUMARATE/HCTZ"
"FENOFIBRATE"
"ETODOLAC"
"INSULIN DETEMIR"
"IBANDRONATE SODIUM"
"ABACAVIR SULFATE/LAMIVUDINE"
"BRINZOLAMIDE"
"IRBESARTAN/HYDROCHLOROTHIAZIDE"
"RIZATRIPTAN BENZOATE"
"AZATHIOPRINE"
"CHLORTHALIDONE"
"COLESEVELAM HCL"
"DEXAMETHASONE"
"ONDANSETRON HCL"
"AZELASTINE HCL"
"NEPAFENAC"
"ESTROGENS, CONJUGATED"
"LUBIPROSTONE"
"TENOFOVIR DISOPROXIL FUMARATE"
"NITROFURANTOIN MACROCRYSTAL"
"INDAPAMIDE"
"PENTOXIFYLLINE"
"NARATRIPTAN HCL"
"METHAMPHETAMINE HCL"
"EZETIMIBE/SIMVASTATIN"
"NPH, HUMAN INSULIN ISOPHANE"
"AMLODIPINE/VALSARTAN"
"RALTEGRAVIR POTASSIUM"
"CIMETIDINE"
"SULINDAC"
"CILOSTAZOL"
"ETHOSUXIMIDE"
"RANOLAZINE"
"FLUCONAZOLE"
"PNV WITH CA,NO.72/IRON/FA"
"CICLOPIROX OLAMINE"
"ISOCARBOXAZID"
"ESTROGEN,CON/M-PROGEST ACET"
"LOPERAMIDE HCL"
"ONDANSETRON"
"SILDENAFIL CITRATE"
"LIPASE/PROTEASE/AMYLASE"
"SEVELAMER CARBONATE"
"AMOXICILLIN"
"CHOLESTYRAMINE (WITH SUGAR)"
"IPRATROPIUM BROMIDE"
"TOLCAPONE"
"ISOSORBIDE DINITRATE"
"ORPHENADRINE CITRATE"
"QUINAPRIL HCL"
"NICOTINE"
"RALOXIFENE HCL"
"SOTALOL HCL"
"KETOCONAZOLE"
"BETAXOLOL HCL"
"LOTEPREDNOL ETABONATE"
"NIZATIDINE"
"FELODIPINE"
"CLOTRIMAZOLE/BETAMETHASONE DIP"
"BUPRENORPHINE"
"CEPHALEXIN"
"SYRING W-NDL,DISP,INSUL,0.5ML"
"NALTREXONE MICROSPHERES"
"BUMETANIDE"
"MEGESTROL ACETATE"
"TELMISARTAN"
"OSELTAMIVIR PHOSPHATE"
"METHYLPHENIDATE"
"PROPAFENONE HCL"
"LEUPROLIDE ACETATE"
"AMMONIUM LACTATE"
"CINACALCET HCL"
"OLMESARTAN/HYDROCHLOROTHIAZIDE"
"CEVIMELINE HCL"
"TRIAMCINOLONE ACETONIDE"
"LOPINAVIR/RITONAVIR"
"NORETHINDRONE-ETHINYL ESTRAD"
"NEO/POLYMYX B SULF/DEXAMETH"
"MESALAMINE"
"ATENOLOL/CHLORTHALIDONE"
"LEVOMEFOLATE CALCIUM"
"HYDROCODONE/IBUPROFEN"
"ACARBOSE"
"ENALAPRIL/HYDROCHLOROTHIAZIDE"
"FOSAMPRENAVIR CALCIUM"
"ROFLUMILAST"
"INDOMETHACIN"
"TORSEMIDE"
"SODIUM POLYSTYRENE SULFONATE"
"CLOBETASOL PROPIONATE"
"DIFLUPREDNATE"
"CALCITONIN,SALMON,SYNTHETIC"
"VIGABATRIN"
"FESOTERODINE FUMARATE"
"CODEINE/BUTALBITAL/ASA/CAFFEIN"
"EFAVIRENZ/EMTRICITAB/TENOFOVIR"
"PROBENECID"
"CIPROFLOXACIN HCL"
"IMMUNE GLOB,GAM CAPRYLATE(IGG)"
"ACAMPROSATE CALCIUM"
"ELETRIPTAN HBR"
"BUTALBIT/ACETAMIN/CAFF/CODEINE"
"LEVOCETIRIZINE DIHYDROCHLORIDE"
"ETHINYL ESTRADIOL/DROSPIRENONE"
"INSULIN NPL/INSULIN LISPRO"
"METAXALONE"
"DIMETHYL FUMARATE"
"GLYBURIDE/METFORMIN HCL"
"SILODOSIN"
"TAPENTADOL HCL"
"CAPTOPRIL"
"METHYLPREDNISOLONE"
"AMLODIPINE BES/OLMESARTAN MED"
"BENAZEPRIL/HYDROCHLOROTHIAZIDE"
"DUTASTERIDE/TAMSULOSIN HCL"
"ERGOLOID MESYLATES"
"POTASSIUM CITRATE"
"CARVEDILOL PHOSPHATE"
"FENTANYL CITRATE"
"ALFUZOSIN HCL"
"URSODIOL"
"EFAVIRENZ"
"FLURBIPROFEN"
"TESTOSTERONE CYPIONATE"
"NORGESTIMATE-ETHINYL ESTRADIOL"
"BICALUTAMIDE"
"EZOGABINE"
"FENOFIBRIC ACID (CHOLINE)"
"BETHANECHOL CHLORIDE"
"LAMIVUDINE"
"NORGESTREL-ETHINYL ESTRADIOL"
"SYRING W-NDL,DISP,INSUL,0.3ML"
"FLUOCINONIDE"
"CYANOCOBALAMIN/FA/PYRIDOXINE"
"ISRADIPINE"
"GATIFLOXACIN"
"METHSUXIMIDE"
"ISONIAZID"
"ANASTROZOLE"
"LEVORPHANOL TARTRATE"
"NATALIZUMAB"
"ACITRETIN"
"SUCCIMER"
"BETAMETHASONE VALERATE"
"SUMATRIPTAN SUCC/NAPROXEN SOD"
"LIDOCAINE HCL"
"ABACAVIR SULFATE"
"LEVOFLOXACIN"
"OMALIZUMAB"
"ERYTHROMYCIN BASE"
"NITROFURANTOIN MONOHYD/M-CRYST"
"CYCLOSPORINE, MODIFIED"
"DESVENLAFAXINE"
"ESTRADIOL/NORETHINDRONE ACET"
"MARAVIROC"
"METHYLPREDNISOLONE SOD SUCC"
"ECONAZOLE NITRATE"
"ETRAVIRINE"
"PIOGLITAZONE HCL/METFORMIN HCL"
"AMILORIDE/HYDROCHLOROTHIAZIDE"
"BECLOMETHASONE DIPROPIONATE"
"CALCIUM ACETATE"
"SODIUM BICARBONATE"
"SODIUM CHLORIDE IRRIG SOLUTION"
"DIDANOSINE"
"AZELASTINE/FLUTICASONE"
"LEUCOVORIN CALCIUM"
"PENICILLIN V POTASSIUM"
"ESTRADIOL/LEVONORGESTREL"
"ZAFIRLUKAST"
"METHIMAZOLE"
"CABERGOLINE"
"DANTROLENE SODIUM"
"ENTECAVIR"
"ETHYNODIOL D-ETHINYL ESTRADIOL"
"EVEROLIMUS"
"NORETHINDRONE A-E ESTRADIOL"
"ATAZANAVIR SULFATE"
"CANDESARTAN/HYDROCHLOROTHIAZID"
"DIPHENOXYLATE HCL/ATROPINE"
"EPLERENONE"
"EXEMESTANE"
"MINOXIDIL"
"PARICALCITOL"
"PITAVASTATIN CALCIUM"
"QUINAPRIL/HYDROCHLOROTHIAZIDE"
"STAVUDINE"
"TAMOXIFEN CITRATE"
"TELMISARTAN/HYDROCHLOROTHIAZID"
"THEOPHYLLINE ANHYDROUS"
"TRANDOLAPRIL"
"VARDENAFIL HCL"
"WATER FOR IRRIGATION,STERILE"
"ZOLMITRIPTAN"
"LIRAGLUTIDE"
"MERCAPTOPURINE"
"CODEINE SULFATE"
"ADALIMUMAB"
"ETANERCEPT"
"COLCHICINE"
"BUDESONIDE"
"BUTALBITAL/ACETAMINOPHEN"
"DICLOFENAC SODIUM/MISOPROSTOL"
"FAMCICLOVIR"
"LAMIVUDINE/ZIDOVUDINE"
"LINAGLIPTIN"
"NELFINAVIR MESYLATE"
"NIMODIPINE"
"PIROXICAM"
"RABEPRAZOLE SODIUM"
"SALMETEROL XINAFOATE"
"SODIUM FLUORIDE"
"TACROLIMUS"
"ENOXAPARIN SODIUM"
"MEPERIDINE HCL"
"REPAGLINIDE"
"LIDOCAINE/PRILOCAINE"
"NYSTATIN/TRIAMCIN"
"ZIPRASIDONE MESYLATE"
"BUTORPHANOL TARTRATE"
"DOXERCALCIFEROL"
"LEVONORGESTREL-ETH ESTRADIOL"
"TERIFLUNOMIDE"
"TERIPARATIDE"
"DIFLUNISAL"
"MISOPROSTOL"
"DESOGESTREL-ETHINYL ESTRADIOL"
"ZIDOVUDINE"
"DIFLORASONE DIACETATE"
"FROVATRIPTAN SUCCINATE"
"METHYLTESTOSTERONE"
"SAXAGLIPTIN HCL"
"CEFDINIR"
"NEOMYCIN/POLYMYXIN B SULF/HC"
"DIHYDROERGOTAMINE MESYLATE"
"CEFTRIAXONE SODIUM"
"ZOSTER VACCINE LIVE/PF"
"DARBEPOETIN ALFA IN POLYSORBAT"
"CLINDAMYCIN HCL"
"PHOSPHORUS #1"
"CORTICOTROPIN"
"DESONIDE"
"DEXTROSE 5 % AND 0.9 % NACL"
"CLINDAMYCIN PHOSPHATE"
"EPOETIN ALFA"
"MEPERIDINE HCL/PF"
"TRIMETHOBENZAMIDE HCL"
"PEG3350/SOD SUL/NACL/ASB/C/KCL"
"PEG 3350/NA SULF,BICARB,CL/KCL"
"GLUCAGON,HUMAN RECOMBINANT"
"DIPHTH,PERTUSS(ACELL),TET VAC"
"PERMETHRIN"
