NPI	NPPES_PROVIDER_LAST_ORG_NAME	NPPES_PROVIDER_FIRST_NAME	NPPES_PROVIDER_CITY	NPPES_PROVIDER_STATE	SPECIALTY_DESC	DESCRIPTION_FLAG	DRUG_NAME	GENERIC_NAME	BENE_COUNT	TOTAL_CLAIM_COUNT	TOTAL_DAY_SUPPLY	TOTAL_DRUG_COST	BENE_COUNT_GE65	BENE_COUNT_GE65_REDACT_FLAG	TOTAL_CLAIM_COUNT_GE65	GE65_REDACT_FLAG	TOTAL_DAY_SUPPLY_GE65	TOTAL_DRUG_COST_GE65
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	BENZTROPINE MESYLATE	BENZTROPINE MESYLATE	27	222	6712	1800.48		*	32		1020	191.81
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	BUPROPION HCL SR	BUPROPION HCL		16	480	729.72		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	BUPROPION XL	BUPROPION HCL	11	73	2190	2904.45		*	14		420	485.11
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	BUSPIRONE HCL	BUSPIRONE HCL		38	1298	451.58		*	17		570	240.23
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CARBAMAZEPINE	CARBAMAZEPINE		17	508	381.42		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CHLORPROMAZINE HCL	CHLORPROMAZINE HCL		84	1370	8411.69		*	12		360	4739.06
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CITALOPRAM HBR	CITALOPRAM HYDROBROMIDE	15	133	3948	934.92		*	31		916	191.62
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CLOMIPRAMINE HCL	CLOMIPRAMINE HCL		12	360	6124.38	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CLONAZEPAM	CLONAZEPAM	33	199	5901	1449.17	13		86		2820	541.87
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CLOZAPINE	CLOZAPINE		67	1889	5487.72	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	CYMBALTA	DULOXETINE HCL		52	1680	13255.89		*	16		600	5342.49
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DESIPRAMINE HCL	DESIPRAMINE HCL		25	700	2878.36	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DIAZEPAM	DIAZEPAM	12	103	2378	1026.88		*	15		255	81.47
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DIPHENHYDRAMINE HCL	DIPHENHYDRAMINE HCL		11	390	166.93	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DIVALPROEX SODIUM	DIVALPROEX SODIUM		53	1545	1827.32	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DIVALPROEX SODIUM ER	DIVALPROEX SODIUM	12	70	2191	8422.12		*	18		600	876.31
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DONEPEZIL HCL	DONEPEZIL HCL		12	360	276.99		*	12		360	276.99
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	DOXEPIN HCL	DOXEPIN HCL		26	840	401.27		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ESCITALOPRAM OXALATE	ESCITALOPRAM OXALATE	25	114	3640	6542.95		*	20		830	1666.51
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	FANAPT	ILOPERIDONE		14	397	9464.85	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	FLUOXETINE HCL	FLUOXETINE HCL	11	83	2490	1336.41		*	36		1080	570.01
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	FLUPHENAZINE DECANOATE	FLUPHENAZINE DECANOATE		25	778	3187.88		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	FLUPHENAZINE HCL	FLUPHENAZINE HCL		30	1000	1120.01		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	FLUVOXAMINE MALEATE	FLUVOXAMINE MALEATE		12	360	238.2	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	GABAPENTIN	GABAPENTIN		72	2117	3413.59		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	HALOPERIDOL	HALOPERIDOL		44	1293	1595.94	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	HYDROCHLOROTHIAZIDE	HYDROCHLOROTHIAZIDE		15	450	75.42		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	HYDROXYZINE HCL	HYDROXYZINE HCL		12	360	526.25		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	HYDROXYZINE PAMOATE	HYDROXYZINE PAMOATE		14	420	128.35	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	INVEGA	PALIPERIDONE		12	360	10016.67		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	LAMOTRIGINE	LAMOTRIGINE	11	65	1934	1179.96		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	LATUDA	LURASIDONE HCL		43	1306	30774.96	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	LITHIUM CARBONATE	LITHIUM CARBONATE		46	1380	584.15		*	29		870	207.37
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	LORAZEPAM	LORAZEPAM	29	212	6461	2026.49		*	43		1390	458.4
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	MIRTAZAPINE	MIRTAZAPINE	15	93	2790	1002.5		*	32		960	382.16
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	NORTRIPTYLINE HCL	NORTRIPTYLINE HCL		23	690	226.95		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	OLANZAPINE	OLANZAPINE	23	199	6086	29426.36		*	45		1350	8897.44
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	OLANZAPINE ODT	OLANZAPINE		17	510	7074.15		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	OLEPTRO ER	TRAZODONE HCL		32	944	3702.74	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	OXCARBAZEPINE	OXCARBAZEPINE		32	960	957.76		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	PAROXETINE HCL	PAROXETINE HCL		42	1500	1180.27		*	17		750	137.87
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	PERPHENAZINE	PERPHENAZINE		16	480	1539.76		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	PRISTIQ ER	DESVENLAFAXINE SUCCINATE		20	600	3501.69		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	QUETIAPINE FUMARATE	QUETIAPINE FUMARATE	22	232	6987	24562.71		*	93		2790	6934.26
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	RISPERIDONE	RISPERIDONE	30	219	6714	12522.65	11		66		2010	1163.45
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	SEROQUEL	QUETIAPINE FUMARATE		14	420	12551.7		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	SEROQUEL XR	QUETIAPINE FUMARATE		45	1334	31810.75	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	SERTRALINE HCL	SERTRALINE HCL	14	112	3387	1056.13		*	51		1530	450.61
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	THIORIDAZINE HCL	THIORIDAZINE HCL		12	360	169.44		*	12		360	169.44
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	THIOTHIXENE	THIOTHIXENE		19	815	741.8	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	TOFRANIL	IMIPRAMINE HCL		12	360	4646.32	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	TOPIRAMATE	TOPIRAMATE		63	1890	938.83		*	34		1020	604.99
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	TRAZODONE HCL	TRAZODONE HCL	21	102	3110	636.48		*	21		630	75.76
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	TRIFLUOPERAZINE HCL	TRIFLUOPERAZINE HCL		25	707	1498.4	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	TRIHEXYPHENIDYL HCL	TRIHEXYPHENIDYL HCL		60	1010	303.66	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	VENLAFAXINE HCL ER	VENLAFAXINE HCL		31	1154	1210.97		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	VIIBRYD	VILAZODONE HYDROCHLORIDE		17	510	2471.18		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	VYVANSE	LISDEXAMFETAMINE DIMESYLATE		20	599	8513.64		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	XANAX	ALPRAZOLAM		21	630	8430.94		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ZALEPLON	ZALEPLON		29	870	772.69		*		*		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ZIPRASIDONE HCL	ZIPRASIDONE HCL		16	436	3302.23	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ZOLPIDEM TARTRATE	ZOLPIDEM TARTRATE	43	285	8533	1559.93	11		82		2460	417.64
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ZOLPIDEM TARTRATE ER	ZOLPIDEM TARTRATE		54	884	3681.5	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ZOVIA 1-35E	ETHYNODIOL D-ETHINYL ESTRADIOL		14	394	343.09	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ZYPREXA	OLANZAPINE		16	480	14006.42		*		*		
1225047509	A. EBBIE SOROUDI, MD, MS A PROFESSIONAL MEDICAL CORPORATION		HUNTINGTON PARK	CA	Ophthalmology	S	NEOMYCIN-POLYMYXIN-DEXAMETH	NEO/POLYMYX B SULF/DEXAMETH		15	180	281.3		#		#		
1043498389	A. OMAR VENTO		MIAMI	FL	Internal Medicine	T	DICYCLOMINE HCL	DICYCLOMINE HCL	14	41	1230	309.67		*	27		810	188.68
1043498389	A. OMAR VENTO		MIAMI	FL	Internal Medicine	T	OMEPRAZOLE	OMEPRAZOLE		23	690	177.34		#		#		
1043498389	A. OMAR VENTO		MIAMI	FL	Internal Medicine	T	PANTOPRAZOLE SODIUM	PANTOPRAZOLE SODIUM		12	360	186.05		*	12		360	186.05
1043498389	A. OMAR VENTO		MIAMI	FL	Internal Medicine	T	RANITIDINE HCL	RANITIDINE HCL	11	28	840	154.42		#		#		
1043498389	A. OMAR VENTO		MIAMI	FL	Internal Medicine	T	SUCRALFATE	SUCRALFATE		15	450	286.74		*	15		450	286.74
1356392344	A.DAVTIAN M.D. MEDICAL SERVICES INC.		GLENDALE	CA	Multispecialty Clinic/Group Practice	S	ABILIFY	ARIPIPRAZOLE		13	388	8440.91		*		*		
1356392344	A.DAVTIAN M.D. MEDICAL SERVICES INC.		GLENDALE	CA	Multispecialty Clinic/Group Practice	S	CYMBALTA	DULOXETINE HCL		30	900	6898.44		#		#		
1356392344	A.DAVTIAN M.D. MEDICAL SERVICES INC.		GLENDALE	CA	Multispecialty Clinic/Group Practice	S	ESCITALOPRAM OXALATE	ESCITALOPRAM OXALATE		22	658	1190.47		#		#		
1356392344	A.DAVTIAN M.D. MEDICAL SERVICES INC.		GLENDALE	CA	Multispecialty Clinic/Group Practice	S	PAROXETINE HCL	PAROXETINE HCL		12	360	124.99		*	12		360	124.99
1356392344	A.DAVTIAN M.D. MEDICAL SERVICES INC.		GLENDALE	CA	Multispecialty Clinic/Group Practice	S	QUETIAPINE FUMARATE	QUETIAPINE FUMARATE		16	479	388.39		*		*		
1467482471	AAB	BARRY	WAPAKONETA	OH	Dentist	T	AMOXICILLIN	AMOXICILLIN	12	19	43	49.31		#		#		
1801093968	AABERG	MELANIE	TRENTON	MI	Emergency Medicine	S	HYDROCODONE-ACETAMINOPHEN	HYDROCODONE/ACETAMINOPHEN	31	33	137	196.41		*		*		
1801093968	AABERG	MELANIE	TRENTON	MI	Emergency Medicine	S	IBUPROFEN	IBUPROFEN	11	12	94	37.64		*		*		
1801093968	AABERG	MELANIE	TRENTON	MI	Emergency Medicine	S	PREDNISONE	PREDNISONE	12	12	85	39.9		*		*		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	BICALUTAMIDE	BICALUTAMIDE	16	60	3960	4468.9	16		60		3960	4468.9
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	CEPHALEXIN	CEPHALEXIN	24	24	156	266.1		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	CIPROFLOXACIN HCL	CIPROFLOXACIN HCL	52	56	319	416.47		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	FINASTERIDE	FINASTERIDE	123	351	26775	29640.52		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	HYDROCODONE-ACETAMINOPHEN	HYDROCODONE/ACETAMINOPHEN	22	22	101	182.25		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	SULFAMETHOXAZOLE-TRIMETHOPRIM	SULFAMETHOXAZOLE/TRIMETHOPRIM		12	411	151.57		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	TAMSULOSIN HCL	TAMSULOSIN HCL	51	123	9130	3885.25		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	TERAZOSIN HCL	TERAZOSIN HCL	20	71	5100	822.05		#		#		
1588763981	AABERG	RANDAL	HONOLULU	HI	Urology	S	TROSPIUM CHLORIDE	TROSPIUM CHLORIDE		11	315	731.6		*	11		315	731.6
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	ALPHAGAN P	BRIMONIDINE TARTRATE		16	790	3040.25		*	16		790	3040.25
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	BRIMONIDINE TARTRATE	BRIMONIDINE TARTRATE	12	16	635	1195.86		#		#		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	BROMFENAC SODIUM	BROMFENAC SODIUM		17	612	3166.68		*	17		612	3166.68
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	COMBIGAN	BRIMONIDINE TARTRATE/TIMOLOL	17	48	1993	6829.19		#		#		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	DORZOLAMIDE HCL	DORZOLAMIDE HCL		13	507	378.29		*		*		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	DORZOLAMIDE-TIMOLOL	DORZOLAMIDE HCL/TIMOLOL MALEAT		18	786	550.59		#		#		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	DUREZOL	DIFLUPREDNATE		14	343	1557.59		*		*		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	LATANOPROST	LATANOPROST		26	1117	567.25		*	26		1117	567.25
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	PREDNISOLONE ACETATE	PREDNISOLONE ACETATE	67	100	3171	3219.14		#		#		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	TIMOLOL MALEATE	TIMOLOL MALEATE	18	41	2136	606.68		#		#		
1194753186	AABERG	THOMAS	GRAND RAPIDS	MI	Ophthalmology	S	TRAVATAN Z	TRAVOPROST		25	650	2643.38		#		#		
1891993317	AABIDA	AFEERA	OMAHA	NE	Family Practice	S	DOXYCYCLINE HYCLATE	DOXYCYCLINE HYCLATE	14	14	140	828.99		*		*		
1891993317	AABIDA	AFEERA	OMAHA	NE	Family Practice	S	HYDROCODONE-ACETAMINOPHEN	HYDROCODONE/ACETAMINOPHEN	13	13	41	62.27		*		*		
1891993317	AABIDA	AFEERA	OMAHA	NE	Family Practice	S	LEVOFLOXACIN	LEVOFLOXACIN	18	18	180	162.08		#		#		
1891993317	AABIDA	AFEERA	OMAHA	NE	Family Practice	S	PROAIR HFA	ALBUTEROL SULFATE	11	11	254	510.33		*		*		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	ACYCLOVIR	ACYCLOVIR		14	760	434.63		*		*		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	AZOPT	BRINZOLAMIDE		18	694	2698.45		*	18		694	2698.45
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	BRIMONIDINE TARTRATE	BRIMONIDINE TARTRATE		12	216	230.57		*	12		216	230.57
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	COMBIGAN	BRIMONIDINE TARTRATE/TIMOLOL		33	945	4374.13		*	33		945	4374.13
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	DORZOLAMIDE-TIMOLOL	DORZOLAMIDE HCL/TIMOLOL MALEAT		18	560	1243.72		*	18		560	1243.72
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	ERYTHROMYCIN	ERYTHROMYCIN BASE	13	30	563	329.78		#		#		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	LATANOPROST	LATANOPROST	29	152	5353	3053.74		#		#		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	LUMIGAN	BIMATOPROST		53	1862	9122.8		#		#		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	NEVANAC	NEPAFENAC	21	31	533	4624.42		#		#		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	PATADAY	OLOPATADINE HCL		14	360	2110.12		*	14		360	2110.12
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	PREDNISOLONE ACETATE	PREDNISOLONE ACETATE	40	53	1498	1034.41		#		#		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	TIMOLOL MALEATE	TIMOLOL MALEATE		30	1375	1074.23		#		#		
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	TRAVATAN Z	TRAVOPROST		12	271	1319.99		*	12		271	1319.99
1164404232	AABY	AAZY	PORTLAND	OR	Ophthalmology	S	VIGAMOX	MOXIFLOXACIN HCL	34	42	715	4257.72		#		#		
1508090481	AABY	KELLI	LOVES PARK	IL	Dentist	T	AMOXICILLIN	AMOXICILLIN	17	19	86	91.08	17		19		86	91.08
1508090481	AABY	KELLI	LOVES PARK	IL	Dentist	T	CEPHALEXIN	CEPHALEXIN	11	14	88	85.81		#		#		
1508090481	AABY	KELLI	LOVES PARK	IL	Dentist	T	CLINDAMYCIN HCL	CLINDAMYCIN HCL	12	13	85	108.62		#		#		
1487775912	AABY	ROYAL	TRACY	CA	Dentist	T	AMOXICILLIN	AMOXICILLIN	13	17	115	112.29		#		#		
1508817040	AACH	DOUGLAS	BELLEVILLE	IL	General Surgery	S	HYDROCODONE-ACETAMINOPHEN	HYDROCODONE/ACETAMINOPHEN	27	29	75	598.66		#		#		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	ACETAMINOPHEN-CODEINE	ACETAMINOPHEN WITH CODEINE		14	366	277.42		*		*		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	CARVEDILOL	CARVEDILOL		22	660	95.47		#		#		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	CLOPIDOGREL	CLOPIDOGREL BISULFATE		20	600	1028.35		#		#		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	HYDROCODONE-ACETAMINOPHEN	HYDROCODONE/ACETAMINOPHEN		17	384	280.98		*		*		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	LISINOPRIL	LISINOPRIL		21	630	69.31		*		*		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	METHADONE HCL	METHADONE HCL		21	610	236.89	0		0		0	0
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	METOPROLOL TARTRATE	METOPROLOL TARTRATE		25	840	164.92		*		*		
1003889502	AACHI	VENKAT	SAN JOSE	CA	Physical Medicine and Rehabilitation	S	PRAVASTATIN SODIUM	PRAVASTATIN SODIUM		26	840	232.34		#		#		
1720081672	AADALEN	KIRK	MINNEAPOLIS	MN	Orthopedic Surgery	S	HYDROCODONE-ACETAMINOPHEN	HYDROCODONE/ACETAMINOPHEN	27	88	629	650.7		#	57		397	414.85
1720081672	AADALEN	KIRK	MINNEAPOLIS	MN	Orthopedic Surgery	S	OXYCODONE-ACETAMINOPHEN	OXYCODONE HCL/ACETAMINOPHEN		16	85	113.87		*		*		
1720081672	AADALEN	KIRK	MINNEAPOLIS	MN	Orthopedic Surgery	S	TRAMADOL HCL	TRAMADOL HCL		13	129	87.04		*	13		129	87.04
1235283672	AADLAND	AARON	SIOUX FALLS	SD	Dentist	T	AMOXICILLIN	AMOXICILLIN	11	12	76	67.54		#		#		
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	ACYCLOVIR	ACYCLOVIR		16	480	76.8		*		*		
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	CLOTRIMAZOLE	CLOTRIMAZOLE		13	390	756.32		*		*		
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	OMEPRAZOLE	OMEPRAZOLE		20	600	1149.55	0		0		0	0
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	PRAVASTATIN SODIUM	PRAVASTATIN SODIUM		16	480	211.3	0		0		0	0
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	PREDNISONE	PREDNISONE		14	420	45.94		*		*		
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	PROGRAF	TACROLIMUS		11	330	1132.6		*		*		
1780898304	AAEN	GREGORY	LOMA LINDA	CA	Pediatric Medicine	S	SULFAMETHOXAZOLE-TRIMETHOPRIM	SULFAMETHOXAZOLE/TRIMETHOPRIM		21	648	93.47		*		*		
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	ABILIFY	ARIPIPRAZOLE		36	1318	38127.61	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	BENZTROPINE MESYLATE	BENZTROPINE MESYLATE		11	330	128.17	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	BUSPIRONE HCL	BUSPIRONE HCL		17	510	2348.99	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	FLUVOXAMINE MALEATE	FLUVOXAMINE MALEATE		45	1291	1632.44		*	26		721	722.19
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	GABAPENTIN	GABAPENTIN		12	360	145.91	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	HALOPERIDOL	HALOPERIDOL		20	1020	1918.56	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	HYDROXYZINE HCL	HYDROXYZINE HCL		14	420	247.28	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	LAMOTRIGINE	LAMOTRIGINE		45	1648	499.95		*	11		390	144.7
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	LITHIUM CARBONATE	LITHIUM CARBONATE		11	306	65.26	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	MIRTAZAPINE	MIRTAZAPINE		13	390	131.04	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	OLANZAPINE	OLANZAPINE		13	390	5845.19	0		0		0	0
1336237643	AAFEDT	SARAH	TULSA	OK	Physician Assistant	S	PAROXETINE HCL	PAROXETINE HCL		26	713	265.17		*	15		383	179.97
